"country","Grocerypharmacy","Parks","Residential","Retailrecreation","Transitstations","Workplace","mean"
"KE",0.63025,"0.57526",0.64319,0.64708,0.64742,0.59815,0.633218
"KG",0.48057,"0.49248",0.48776,0.4988,0.52397,0.4716,0.49254
"KR",-0.37934,"-0.48765",-0.22,-0.24441,-0.24665,NA,-0.2726
"KW",0.41926,"0.37686",0.43182,0.42413,0.3771,0.43876,0.418214
"KZ",0.59831,"0.60468",0.57688,0.60571,0.59774,0.5147,0.578668
"LB",0.57206,"0.56877",0.64155,0.63187,0.64075,0.6395,0.625146
"LK",0.45034,"0.46159",0.48126,0.43778,0.43723,0.43139,0.4476
"LU",0.54901,"0.50709",0.56579,0.64254,0.65042,0.67288,0.616128
"LY",0.37206,"0.40599",0.32387,0.37367,0.34307,0.37823,0.35818
"MD",0.6103,"0.57866",0.5964,0.60459,0.63589,0.63141,0.615718
"ML",0.47737,"0.40423",0.51535,0.45521,0.51673,0.50096,0.493124
"MM",0.53515,"0.51911",0.58668,0.57245,0.58193,0.53116,0.561474
"MU",0.55313,"0.54034",0.60613,0.54285,0.58838,0.57055,0.572208
"MX",0.65726,"0.75672",0.7696,0.74998,0.78589,0.69221,0.730988
"MY",0.66905,"0.68948",0.72471,0.64026,0.7274,0.62601,0.677486
"NA",0.44723,"0.70169",0.72886,0.62204,0.70833,0.7219,0.645672
"NE",0.60669,"0.63008",0.70231,0.62288,0.67605,0.62417,0.64642
"NG",0.6122,"0.70375",0.74724,0.70842,0.70055,0.69201,0.692084
"NI",0.51393,"0.50697",0.60276,0.51963,0.57897,0.61809,0.566676
"NL",0.35998,"-0.29631",0.65508,0.68296,0.66655,0.59292,0.591498
"NO",0.35418,"-0.25546",0.61386,0.52746,0.60782,0.66107,0.552878
"NZ",0.54105,"0.52613",0.56764,0.54472,0.5981,0.56244,0.56279
"OM",0.50127,"0.49053",0.54571,0.51653,0.53528,0.52014,0.523786
"PA",0.71829,"0.78833",0.7933,0.78378,0.78178,0.76578,0.768586
"PE",0.56468,"0.60463",0.60637,0.57708,0.627,0.59998,0.595022
"PH",0.69839,"0.73295",0.77359,0.80166,0.7988,0.77192,0.768872
"PK",0.63211,"0.63473",0.63586,0.6177,0.631,0.6058,0.624494
"PL",0.55145,"0.6609",0.73975,0.62463,0.73081,0.78666,0.68666
"PR",0.5024,"0.51961",0.53435,0.50164,0.60313,0.5762,0.543544
"PT",0.5693,"0.65096",0.65126,0.59927,0.73055,0.68219,0.646514
"PY",0.65288,"0.64435",0.70517,0.66521,0.6943,0.70754,0.68502
"QA",0.46721,"0.51991",0.60849,0.55315,0.59224,0.64524,0.573266
"RO",0.53899,"0.53179",0.57194,0.56275,0.5665,0.60836,0.569708
"SA",0.6796,"0.64523",0.66711,0.64784,0.67436,0.67065,0.667912
"SE",0.37652,"-0.45133",0.72961,0.59294,0.72437,0.76514,0.637716
"SG",-0.24867,"0.66724",0.73596,0.71483,0.74389,0.67323,0.523848
"SI",0.53918,"0.44837",0.57234,0.5361,0.54311,0.57961,0.554068
"SK",NA,NA,0.23835,0.28124,0.1912,0.29782,0.2521525
"SV",0.46532,"0.46292",0.47888,0.45743,0.46946,0.49784,0.473786
"TH",0.62938,"0.7661",0.79326,0.72485,0.80626,0.70455,0.73166
"TR",0.72159,"0.73109",0.79409,0.73142,0.76148,0.79716,0.761148
"TT",0.43813,"0.61836",0.60133,0.60725,0.66212,0.5668,0.575126
"TW",-0.17626,NA,0.31083,0.24507,0.45628,0.24033,0.21525
"TZ",0.27345,"0.57546",0.62645,0.56189,0.57122,0.59475,0.525552
"US",0.30391,"0.56614",0.72789,0.67445,0.80037,0.75023,0.65137
"UY",0.35399,"0.46199",0.50901,0.40176,0.44385,0.56056,0.453834
"VE",0.54147,"0.52324",0.4852,0.51452,0.53127,0.4596,0.506412
"ZA",0.56827,"0.58913",0.61522,0.58286,0.5963,0.61038,0.594606
"ZM",0.36406,NA,0.51041,0.50123,0.51755,0.42939,0.464528
"ZW",0.42307,"0.63832",0.6876,0.64312,0.60328,0.59213,0.58984
